"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139",".trigger() - trigger an event on a DOM element","Actions","Mon Jan 13 16:29:40 GMT-03:00 2025","passed","Mon Jan 13 16:29:40 GMT-03:00 2025","","","",""
"","3317","cy.viewport() - set the viewport size and dimension","Viewport","Mon Jan 13 16:30:59 GMT-03:00 2025","passed","Mon Jan 13 16:31:02 GMT-03:00 2025","","","",""
"","4509",".type() - type into a DOM element","Actions","Mon Jan 13 16:29:28 GMT-03:00 2025","passed","Mon Jan 13 16:29:33 GMT-03:00 2025","","","",""
"","365","cy.wait() - wait for a specific route","Waiting","Mon Jan 13 16:31:10 GMT-03:00 2025","passed","Mon Jan 13 16:31:10 GMT-03:00 2025","","","",""
"","481","Cypress._ - call a lodash method","Utilities","Mon Jan 13 16:30:54 GMT-03:00 2025","passed","Mon Jan 13 16:30:54 GMT-03:00 2025","","","",""
"","222","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","Mon Jan 13 16:30:37 GMT-03:00 2025","passed","Mon Jan 13 16:30:37 GMT-03:00 2025","","","",""
"","108",".and() - chain multiple assertions together","Assertions","Mon Jan 13 16:29:50 GMT-03:00 2025","passed","Mon Jan 13 16:29:50 GMT-03:00 2025","","Implicit Assertions","",""
"","319","can filter for completed tasks","example to-do app","Mon Jan 13 16:29:25 GMT-03:00 2025","passed","Mon Jan 13 16:29:25 GMT-03:00 2025","","with a checked task","",""
"","107",".eq() - get a DOM element at a specific index","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","110","Cypress.minimatch - test out glob patterns against strings","Utilities","Mon Jan 13 16:30:55 GMT-03:00 2025","passed","Mon Jan 13 16:30:55 GMT-03:00 2025","","","",""
"","184","can check off an item as completed","example to-do app","Mon Jan 13 16:29:24 GMT-03:00 2025","passed","Mon Jan 13 16:29:24 GMT-03:00 2025","","","",""
"","363","cy.request() - verify response using BDD syntax","Network Requests","Mon Jan 13 16:30:26 GMT-03:00 2025","passed","Mon Jan 13 16:30:27 GMT-03:00 2025","","","",""
"","142","cy.fixture() or require - load a fixture","Files","Mon Jan 13 16:30:09 GMT-03:00 2025","passed","Mon Jan 13 16:30:09 GMT-03:00 2025","","","",""
"","1088","cy.go() - go back or forward in the browser's history","Navigation","Mon Jan 13 16:30:21 GMT-03:00 2025","passed","Mon Jan 13 16:30:22 GMT-03:00 2025","","","",""
"","112","cy.location() - get window.location","Location","Mon Jan 13 16:30:13 GMT-03:00 2025","passed","Mon Jan 13 16:30:13 GMT-03:00 2025","","","",""
"","176","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","Mon Jan 13 16:30:45 GMT-03:00 2025","passed","Mon Jan 13 16:30:45 GMT-03:00 2025","","","",""
"","103",".closest() - get closest ancestor DOM element","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","626","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","Mon Jan 13 16:30:44 GMT-03:00 2025","passed","Mon Jan 13 16:30:44 GMT-03:00 2025","","","",""
"","192",".dblclick() - double click on a DOM element","Actions","Mon Jan 13 16:29:37 GMT-03:00 2025","passed","Mon Jan 13 16:29:37 GMT-03:00 2025","","","",""
"","97",".parents() - get parent DOM elements from DOM elements","Traversal","Mon Jan 13 16:30:50 GMT-03:00 2025","passed","Mon Jan 13 16:30:50 GMT-03:00 2025","","","",""
"","94",".next() - get next sibling DOM element","Traversal","Mon Jan 13 16:30:49 GMT-03:00 2025","passed","Mon Jan 13 16:30:49 GMT-03:00 2025","","","",""
"","374","cy.focused() - get the DOM element that has focus","Misc","Mon Jan 13 16:30:16 GMT-03:00 2025","passed","Mon Jan 13 16:30:17 GMT-03:00 2025","","","",""
